Country Name,Indicator Code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Azerbaijan,extfin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,0.375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Azerbaijan,domfin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2777778,0.2777778,0.2777778,0.2777778,0.3333333,0.4444444,0.3888889,0.3888889,0.3888889,0.3888889,0.4444444,0.5555556,0.5555556,0.6666667,0.7222222,0.6111111,0.7222222,0.6666667,0.7222222,0.6111111,0.6111111,0.6111111,0.6111111,0.5555556
Azerbaijan,labor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5250968,0.5250968,0.5250968,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246,0.5890246
Azerbaijan,extfin_out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Bangladesh,trade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.1,0.13333333,0.13333333,0.13333333,0.42204443,0.46835557,0.46906667,0.44782224,0.44657776,0.45946667,0.47102224,0.49671115,0.49813333,0.53973333,0.54382224,0.54142219,0.54302224,0.54382224,0.54613333,0.55208891,0.55208891
Bangladesh,extfin,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.25
Bangladesh,domfin,0,0,0,0,0,0,0,0.0555556,0.0555556,0.1111111,0.1111111,0.1111111,0.1111111,0.1666667,0.2222222,0.2222222,0.2222222,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.4444444,0.4444444,0.4444444,0.4444444,0.4444444,0.4444444,0.4444444,0.5,0.6111111,0.6666667,0.6666667,0.5,0.5555556,0.6666667,0.7777778,0.7777778,0.7777778
Bangladesh,prdm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666667,0.30952380952,0.30952380952,0.30952380952,0.30952380952,0.30952380952,0.38095238095,0.46428571429,0.61904761905,0.61904761905,0.61904761905,0.61904761905,0.61904761905,0.61904761905,0.61904761905,0.61904761905,0.61904761905,0.61904761905,0.61904761905
Bangladesh,labor,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.5670096,0.6309893,0.6309893,0.6309893,0.6309893,0.6309893,0.6309893,0.6309893,0.625618
Bangladesh,extfin_out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5
Bangladesh,extfin_out_fdi,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,extfin_out_pfeq,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Bangladesh,extfin_out_bank,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Bangladesh,extfin_in,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Bangladesh,extfin_in_bond,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Bangladesh,extfin_in_bank,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Austria,extfin_out_bank,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Austria,extfin_in,0.5,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2
Austria,extfin_in_pfeq,NA,NA,NA,NA,NA,NA,NA,1.5,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Austria,extfin_in_bond,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Austria,extfin_in_bank,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Azerbaijan,prdm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571429,0.071428571429,0.071428571429,0.071428571429,0.071428571429,0.071428571429,0.071428571429,0.071428571429,0.071428571429,0.071428571429
Azerbaijan,extfin_in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Bangladesh,extfin_out_bond,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
Bangladesh,extfin_in_pfeq,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Switzerland,trade,NA,NA,NA,NA,NA,0.93204875,0.93204875,0.96816389,0.97223397,0.97204352,0.97329568,0.97468816,0.97631168,0.97427675,0.97427675,0.97427675,0.97427675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,extfin,1,0.875,0.875,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,domfin,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8333333,0.8888889,0.8888889,0.8888889,0.8888889,0.8888889,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444,0.9444444
Switzerland,prdm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571429,0.42857142857,0.42857142857,0.42857142857,0.42857142857,0.42857142857,0.42857142857,0.5119047619,0.5119047619,0.5119047619,0.5119047619,0.59523809524,0.7619047619,0.7619047619,0.7619047619,0.7619047619,0.7619047619,0.7619047619
